Stadium,City,State,Team,Conference,Capacity,Record1,Surface
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Independent,"30,343","32,993",S5-M Synthetic Turf
Alamodome,San Antonio,TX,UTSA,C-USA,"65,000","56,743",SportField
Alaska Airlines Field at Husky Stadium,Seattle,WA,Washington,Pac-12,"70,083","76,125",FieldTurf
Albertsons Stadium,Boise,ID,Boise State,Mountain West,"36,387","36,864",Smurf Turf
Allegiant Stadium,Paradise,NV,UNLV,Mountain West,"65,000",0,FieldTurf
Allen E. Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,"25,000","25,735",Shaw Legion 41 Synthetic Turf
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,"44,500","44,500",AstroTurf
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,"45,000","50,307",Grass
Apogee Stadium,Denton,TX,North Texas,C-USA,"30,850","30,150",PowerBlade Artificial Turf
Arizona Stadium,Tucson,AZ,Arizona,Pac-12,"56,029","59,920",FieldTurf
Arthur L. Williams Stadium,Lynchburg,VA,Liberty,Independent (2018),"25,000","22,551",FieldTurf
Autzen Stadium,Eugene,OR,Oregon,Pac-12,"60,000","60,055",FieldTurf
Bagwell Field at Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,"50,000","51,082",Tifton 419 Hybrid Bermuda
Beaver Stadium,University Park,PA,Penn State,Big Ten,"106,572","110,889",Grass
Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,"30,000","30,000",Act Global UBU Speed Series S5-M
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,"50,000","53,811",Synthetic Turf
Blaik Field at Michie Stadium,West Point,NY,Army,Independent,"38,000","42,765",Field Turf
Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,FL,Florida State,ACC,"79,560","84,409",Grass
Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,"55,000","60,316",Legion NXT turf
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,"60,218","60,218",Astroturf 3D Decade
Bounce House,Orlando,FL,UCF,American,"44,206","48,453",Tifway 419 Bermuda
Brigham Field at Huskie Stadium,DeKalb,IL,NIU,MAC,"23,595","28,221",FieldTurf
Brooks Field at Wallace Wade Stadium,Durham,NC,Duke,ACC,"40,000","57,500",Latitude 36 Bermuda Grass
Brooks Stadium,Conway,SC,Coastal Carolina,Sun Belt,"20,000",0,Shaw Power Blade HD Turf
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,"101,821","101,821",Grass
Bulldog Stadium at Jim Sweeney Field,Fresno,CA,Fresno State,Mountain West,"41,031","42,881",FieldTurf
Cajun Field,Lafayette,LA,Louisiana,Sun Belt,"41,426","41,357",ProGrass
