Image,Stadium,City,State,Team,Conference,Capacity,Record,Built,Expanded,Surface
,Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Independent,"30,343","32,993(September 26, 1998 vs. UTEP)",1978,2005[1],S5-M Synthetic Turf
,Alamodome,San Antonio,TX,UTSA,C-USA,"65,000","56,743(September 3, 2011 vs. Northeastern State)",1993,,SportField
,Alaska Airlines Field at Husky Stadium,Seattle,WA,Washington,Pac-12,"70,083","76,125(September 23, 1995 vs. Army)",1920,2013,FieldTurf
,Albertsons Stadium,Boise,ID,Boise State,Mountain West,"36,387","36,864(September 20, 2012 vs. BYU)",1970,2012[3],Smurf Turf
,Allegiant Stadium,Paradise,NV,UNLV,Mountain West,"65,000",TBD,2020,,FieldTurf
,Allen E. Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,"25,000","25,735(September 17, 2016 vs. Louisiana-Monroe)",1984,2014,Shaw Legion 41 Synthetic Turf
,Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,"44,500","44,500(multiple times)",1957,1995[5],AstroTurf
,Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,"45,000","50,307(November 14, 2009 vs. Utah)",1929,2012[6],Grass
,Apogee Stadium,Denton,TX,North Texas,C-USA,"30,850","30,150(September 29, 2018 vs. Louisiana Tech)",2011,N/A,PowerBlade Artificial Turf
,Arizona Stadium,Tucson,AZ,Arizona,Pac-12,"56,029","59,920(November 23, 1996 vs. Arizona State)",1928,1988[8],FieldTurf
,Arthur L. Williams Stadium,Lynchburg,VA,Liberty,Independent (2018),"25,000","22,551(September 19, 2015 vs. Montana)",1989,2018[10],FieldTurf
,Autzen Stadium,Eugene,OR,Oregon,Pac-12,"54,000","60,055(October 15, 2011 vs. Arizona State)",1967,2002,FieldTurf
,Bagwell Field at Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,"50,000","51,082(September 20, 2014 vs. North Carolina)",1963,2010,Tifton 419 Hybrid Bermuda
,Beaver Stadium,University Park,PA,Penn State,Big Ten,"106,572","110,889(September 30, 2018 vs. Ohio State University)",1909,2001,Grass
