Stadium,Latitude,Longitude,City,State,Team,Conference,Capacity,Record,Built,Surface
Aggie Memorial Stadium,32.27948550000001,-106.7417131,Las Cruces,NM,New Mexico State,Independent,"30,343","32,993(September 26, 1998 vs. UTEP)[1]",1978,S5-M Synthetic Turf
Alamodome,29.4169834,-98.4788143,San Antonio,TX,UTSA,C-USA,"65,000","56,743(September 3, 2011 vs. Northeastern State)",1993,SportField
Alaska Airlines Field at Husky Stadium,47.65035,-122.3016111,Seattle,WA,Washington,Pac-12,"70,083","76,125(September 23, 1995 vs. Army)",1920,FieldTurf
Albertsons Stadium,43.6028444,-116.1958658,Boise,ID,Boise State,Mountain West,"36,387","36,864(September 20, 2012 vs. BYU)[4]",1970,Smurf Turf
Allegiant Stadium,36.0908665,-115.1833222,Paradise,NV,UNLV,Mountain West,"65,000",,2020,FieldTurf
Allen E. Paulson Stadium,32.4121952,-81.7831353,Statesboro,GA,Georgia Southern,Sun Belt,"25,000","25,735(September 17, 2016 vs. Louisiana-Monroe)",1984,Shaw Legion 41 Synthetic Turf
Alumni Stadium,42.3351281,-71.1664682,Chestnut Hill,MA,Boston College,ACC,"44,500","44,500(multiple times)",1957,AstroTurf
Amon G. Carter Stadium,32.7096451,-97.36735589999999,Fort Worth,TX,TCU,Big 12,"45,000","50,307(November 14, 2009 vs. Utah)[7]",1929,Grass
Apogee Stadium,33.2039355,-97.1592403,Denton,TX,North Texas,C-USA,"30,850","30,150(September 29, 2018 vs. Louisiana Tech)",2011,PowerBlade Artificial Turf
Arizona Stadium,32.2288391,-110.948844,Tucson,AZ,Arizona,Pac-12,"56,029","59,920(November 23, 1996 vs. Arizona State)[9]",1928,FieldTurf
Arthur L. Williams Stadium,37.3544315,-79.17502510000001,Lynchburg,VA,Liberty,Independent (2018),"25,000","22,551(September 19, 2015 vs. Montana)[11]",1989,FieldTurf
Autzen Stadium,44.0582608,-123.0684925,Eugene,OR,Oregon,Pac-12,"54,000","60,055(October 15, 2011 vs. Arizona State)",1967,FieldTurf
Bagwell Field at Dowdy–Ficklen Stadium,35.5964608,-77.36534929999999,Greenville,NC,East Carolina,American,"50,000","51,082(September 20, 2014 vs. North Carolina)",1963,Tifton 419 Hybrid Bermuda
Beaver Stadium,40.8121958,-77.8561023,University Park,PA,Penn State,Big Ten,"106,572","110,889(September 30, 2018 vs. Ohio State University)[14]",1909,Grass
Benson Field at Yulman Stadium,29.944616,-90.116692,New Orleans,LA,Tulane,American,"30,000","30,000(September 8, 2014 vs. Georgia Tech)[15]",2014,Act Global UBU Speed Series S5-M
Bill Snyder Family Football Stadium,39.201929,-96.593901,Manhattan,KS,Kansas State,Big 12,"50,000","53,811(November 11, 2000 vs. Nebraska)[17]",1968,Synthetic Turf
Blaik Field at Michie Stadium,41.3875529,-73.9640708,West Point,NY,Army,Independent,"38,000","42,765(October 2, 1971 vs. Missouri)",1924,Field Turf
Bobby Bowden Field at Doak S. Campbell Stadium,30.4381531,-84.3044201,Tallahassee,FL,Florida State,ACC,"79,560","84,409(November 2, 2013 vs. Miami (FL))[19]",1950,Grass
Bobby Dodd Stadium at Historic Grant Field,33.7725939,-84.39325350000001,Atlanta,GA,Georgia Tech,ACC,"55,000","60,316(1973 vs. Georgia)[21]",1913,Legion NXT turf
Boone Pickens Stadium,36.1256372,-97.06648899999999,Stillwater,OK,Oklahoma State,Big 12,"60,218","60,218(November 23, 2013 vs. Baylor)[22]",1919,Astroturf 3D Decade
Bounce House,37.1257011,-94.5118222,Orlando,FL,UCF,American,"44,206","48,453(October 17, 2009 vs. Miami (FL))[24]",2007,Tifway 419 Bermuda
Brigham Field at Huskie Stadium,41.9339586,-88.7778357,DeKalb,IL,NIU,MAC,"23,595","28,221(October 18, 2003 vs. Western Michigan)",1965,FieldTurf
Brooks Field at Wallace Wade Stadium,35.9953818,-78.9417494,Durham,NC,Duke,ACC,"40,000","57,500(November 19, 1949 vs. North Carolina)",1929,Latitude 36 Bermuda Grass
Brooks Stadium,33.7928741,-79.0174972,Conway,SC,Coastal Carolina,Sun Belt,"20,000",,2003,Shaw Power Blade HD Turf
Bryant–Denny Stadium,33.2082752,-87.55038359999999,Tuscaloosa,AL,Alabama,SEC,"101,821","101,821(multiple times)",1929,Grass
Bulldog Stadium at Jim Sweeney Field,36.8144179,-119.7580748,Fresno,CA,Fresno State,Mountain West,"41,031","42,881(multiple times)[28]",1980,FieldTurf
Cajun Field,30.2158054,-92.04173200000001,Lafayette,LA,Louisiana,Sun Belt,"41,426","41,357(September 5, 2009 vs. Southern)[29]",1971,ProGrass
California Memorial Stadium,37.8706571,-122.2507783,Berkeley,CA,California,Pac-12,"62,717","83,000(September 27, 1947 vs. Navy;November 22, 1952 vs. Stanford)[31]",1923,FieldTurf
Camp Randall Stadium,43.0699446,-89.4126871,Madison,WI,Wisconsin,Big Ten,"80,321","83,184(November 12, 2005 vs. Iowa)[32]",1917,FieldTurf
Capital One Field at Maryland Stadium,38.9902668,-76.9472423,College Park,MD,Maryland,Big Ten,"51,802","58,973(November 1, 1975 vs. Penn State)[34]",1950,FieldTurf
Cardinal Stadium[36],33.5276247,-112.2625593,Louisville,KY,Louisville,ACC,"61,000","58,187(September 17, 2016 vs. Florida State)[38]",1998,FieldTurf
"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium",38.0325776,-78.51443739999999,Charlottesville,VA,Virginia,ACC,"61,500","64,947(August 30, 2008 vs. USC))",1931,Grass
Carlisle-Faulkner Field at M.M. Roberts Stadium,31.3290179,-89.3312208,Hattiesburg,MS,Southern Miss,C-USA,"36,000","36,641(September 5, 2016 vs. Mississippi State)",1932,Shaw Sports Momentum Turf
Carrier Dome,43.036233,-76.1362931,Syracuse,NY,Syracuse,ACC,"49,250","50,564(September 20, 1980 vs. Miami (OH))[41]",1980,FieldTurf
CEFCU Stadium,37.3196675,-121.8682962,San Jose,CA,San Jose State,Mountain West,"30,456","31,681(August 23, 2003 vs. Grambling State)",1933,AstroTurf
Centennial Bank Stadium,35.8489116,-90.6671914,Jonesboro,AR,Arkansas State,Sun Belt,"30,964","31,243(December 1, 2012 vs. Middle Tennessee)",1974,ProGreen
Center Parc Stadium,33.736095,-84.3893472,Atlanta,GA,Georgia State,Sun Belt,"25,000","24,333",1996,Artificial Turf
Clarence T. C. Ching Athletics Complex,21.2943297,-157.8171673,Honolulu,HI,Hawaiʻi,Mountain West,"10,000",TBD,2015,Grass
Darrell K Royal–Texas Memorial Stadium,30.2836972,-97.7325972,Austin,TX,Texas,Big 12,"100,119","103,507(September 15, 2018 vs. USC)[45]",1924,FieldTurf
David Booth Kansas Memorial Stadium,38.9629418,-95.2463686,Lawrence,KS,Kansas,Big 12,"50,071","52,530(September 1, 2009 vs. Northern Colorado)[48]",1921,Synthetic Turf
Davis Wade Stadium at Scott Field,33.4564165,-88.7933836,Starkville,MS,Mississippi State,SEC,"61,337","62,945(October 11, 2014 vs. Auburn)[50]",1914,Prescription Athletic Turf (Tifway 419 Bermuda Grass)
Dignity Health Sports Park,33.8643777,-118.2611426,Carson,CA,San Diego State,Mountain West,"27,000",,2003,Bandera Bermuda grass[54]
Dix Stadium,41.1390167,-81.31366109999999,Kent,OH,Kent State,MAC,"25,000","27,363(November 10, 1973 vs. Miami (OH))",1969,FieldTurf
Doyt L. Perry Stadium,41.3780114,-83.6225,Bowling Green,OH,Bowling Green,MAC,"24,000","33,527(October 8, 1983 vs. Toledo)[55]",1966,FieldTurf
Dreamstyle Stadium,35.0669403,-106.6283203,Albuquerque,NM,New Mexico,Mountain West,"39,224","44,760(September 17, 2005 vs. New Mexico State)[57]",1960,FieldTurf
Falcon Stadium,38.9970673,-104.8435176,Colorado Springs,CO,Air Force,Mountain West,"46,692","56,409(October 19, 2002 vs. Notre Dame)[59]",1962,FieldTurf
Howard Schnellenberger Field at FAU Stadium,26.3761349,-80.10163109999999,Boca Raton,FL,Florida Atlantic,C-USA,"30,000","29,103(October 15, 2011 vs. Western Kentucky)",2011,Celebration Bermuda Grass
Faurot Field at Memorial Stadium,38.9358388,-92.3332116,Columbia,MO,Missouri,SEC,"61,620","75,298(October 4, 1980 vs. Penn State)[60]",1927,FieldTurf
Folsom Field,40.009472,-105.2668869,Boulder,CO,Colorado,Pac-12,"50,183","54,972(September 3, 2005 vs. Colorado State)[61]",1924,Grass
Frank Kush Field at Sun Devil Stadium,33.426453,-111.9325733,Tempe,AZ,Arizona State,Pac-12,"56,232","74,963[63](November 9, 1996 vs. California)",1958,Bermuda Grass
